query,poi_name,wikipedia-link,answer
Why did you decide to have me drive you rather than take the public yellow bus?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,I wanted the option to go more places
What is the name of that building with all the windows?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,It's called the Alexanderplatz.
Is it a train station or what?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,The building is a large public square and transportation hub
Is there a shelter for rainy days?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,"Yes, right outside the Press Cafe there is a concrete overhang. "
Is there a clothing boutique nearby? ,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,there's none nearby
What building is this?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),This is an ancient romanian building. 
are there guided tours available?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"No. Today, the buildings are used by the University of Potsdam and are undergoing restoration although a lack of funding has pushed the date of completion to 2016. The 29-acre parcel has been closed off to the public and is no longer viewable by tourists."
Can I walk around the grounds and take photos of the exterior?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),Yes
How many statues are on the premises?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),There are over 400 statues on the premises.
What year was this built?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),The New Palace was completed in 1769.
Why were barricades erected in front of the artwork? ,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,To block off people from going up to the wall
Why do people climb these walls?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,East German officials always claimed that the wall was erected to protect the communist regime from the pernicious influences of Western capitalism and culture
Who are the men kissing on the side of the wall?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,The Kiss depicts Soviet leader Leonid Brezhnev giving the East Germany President Erich Honecker what appears to be a passionate kiss on the lips.
WHo drew the painting?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,It was painted by Dmitri Vladimirovich Vrubel.
Did this kiss actually happen of these two men?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,no it did not
What is the low temperature today?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",12 c
Is there any more snow in the forecast for today?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",Snow is likely due to cloud formations.
Is there a rooftop deck on this building?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Yes, there is a rooftop deck and mineral roof garden atop the museum."
What is in this building?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Striking, contemporary building with exhibits tracing German-Jewish history and Holocaust memorial."
Is the memorial suitable for children? ,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Yes, they encourage school groups and have activities for children."
Beautiful surroundings what is this area called,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,museum island
What are the open hours here?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,The Pergamom Museum is open from 10am-6pm daily.   
Who designed the building ?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum, Alfred Messel and Ludwig Hoffmann 
What kind of displays are in the museums?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,"it contains ancient architecture, German post-antiquity art, and Middle Eastern and Islamic art"
Where is parking for the museum?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,"There is some parking around the museum's buildings, but getting to it through public transportation is easier."
How old are these buildings?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,"The palace was constructed over a period of twenty years, from 1910 to 1930"
Who commissioned the building of this palace?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Germany
Is it possible to rent a bicycle nearby?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,"Yes, there are several bicycle rental companies nearby with the closest one being Donkey Republic 24/7 Bike Rental."
Who designed the building?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum, The building was designed by Alfred Messel and Ludwig Hoffmann.
Where is handicap ramp?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,It is by the main steps into the museum.
Are the any regulations for passing through an Army checkpoint?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,Yes
Do people live in the white building?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"No, it is a commercial building"
What is the closest hotel to this checkpoint?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,The closest hotel is the Select Hotel.
Why is there an american flag?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"Because it is at the point where Soviet and American tanks faced each other, on the edge of the American sector."
Who is that a picture of on the billboard?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,It is an unknown soviet soldier.
Which lane do I need to be in?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,It depends on which way you are going. 
Is there a restaurant on the roof of the glass building on the right?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,There is a restaurant on the roof. 
What is the speed limit of this road?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,The speed limit is 30 KPH.
Is this a busy road?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Yes
When is the area the busiest?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,It's a big tourist attraction and can be busy most of the day. 
"Which is faster, a ferry or a car? ",Spree River,https://en.wikipedia.org/wiki/Spree,"Depending on traffic, you may want to walk and take the ferry to avoid the hassles of downtown Berlin"
What is the fee for a ferry ride?,Spree River,https://en.wikipedia.org/wiki/Spree,$11
AT how many points does this ferry stop?,Spree River,https://en.wikipedia.org/wiki/Spree,2
How long does it take to ride the ferry round trip?,Spree River,https://en.wikipedia.org/wiki/Spree,A round trip would be about 2.5 hours. 
Is there narration on the ferry?,Spree River,https://en.wikipedia.org/wiki/Spree,"Yes, but only in German"
"What is the purpose of the gray, cubicle building that we are passing?",Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",Houses the Jewish Museum 
Where is the entrance?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","The entrance is located at Lindenstraße 9-14, Berlin, Germany."
Is this considered a historic site?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Yes indeed, it is considered a historic site."
Is there a permanent exhibit or is it rotating? ,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",The exhibits at this location rotate. 
Why is this building asymetrical?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","“The new design, which was created a year before the Berlin Wall came down, was based on three conceptions that formed the museum’s foundation: first, the impossibility of understanding the history of Berlin without understanding the enormous intellectual, economic and cultural contribution made by the Jewish citizens of Berlin, second, the necessity to integrate physically and spiritually the meaning of the Holocaust into the consciousness and memory of the city of Berlin. Third, that only through the acknowledgement and incorporation of this erasure and void of Jewish life in Berlin, can the history of Berlin and Europe have a human future."
What street are we on?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,"Potsdamer Platz, 10785 Berlin, Germany"
What is the name of the tower building on the left?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,German Parliament Building
Why are both towers the same size?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,The owner wanted the buildings to be parallel. 
Is this in a shopping district?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,It is the entrance to the shopping district.
Is it a high level shopping area?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Yes
Where does that tram go to?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,"It is one of Berlin's largest and most important transportation hubs, being a meetingplace of three subway (U-Bahn) lines, three S-Bahn lines, and many tram and bus lines, as well as regional trains."
is there any hotels nearby,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,"Yes, there is one 5 miles away from you."
How often do the trams run?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,Two of the four tram lines run continuously throughout the day.
What is the cost to ride the tram?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,The trams cost 1.70 Euros if you are traveling a short distance.
Where do I park for the tram?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,In the parking space. 
Is the statue on top real gold?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,It is bronze.
Where is this located? Is it open to the public?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,"Großer Stern (Great Star), a large intersection on the city axis. It is accessible to the public by four tunnels."
Which tunnel is the easiest way to get there?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,They are all equally as easy to use.
Which tunnel is the quickest to get there?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,it depends on what part of the city you are at.
