No.,Position,Player
1,GK,Petr Čech (vice-captain)
2,DF,Héctor Bellerín
4,MF,Mohamed Elneny
5,DF,Sokratis Papastathopoulos
6,DF,Laurent Koscielny (captain)
7,MF,Henrikh Mkhitaryan
8,MF,Aaron Ramsey
9,FW,Alexandre Lacazette
10,MF,Mesut Özil
11,MF,Lucas Torreira
12,DF,Stephan Lichtsteiner
14,FW,Pierre-Emerick Aubameyang
15,MF,Ainsley Maitland-Niles
16,DF,Rob Holding
17,FW,Alex Iwobi
18,DF,Nacho Monreal
19,GK,Bernd Leno
20,DF,Shkodran Mustafi
23,FW,Danny Welbeck
25,DF,Carl Jenkinson
26,GK,Emiliano Martínez
27,DF,Konstantinos Mavropanos
29,MF,Mattéo Guendouzi
31,DF,Sead Kolašinac
34,MF,Granit Xhaka
