No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Alisson,(1992-10-02) 2 October 1992 (age25),31,0,Liverpool
12,GK,Neto,(1989-07-19) 19 July 1989 (age29),0,0,Valencia
24,GK,Hugo,(1999-01-31) 31 January 1999 (age19),0,0,Flamengo
2,DF,Thiago Silva,(1984-09-22) 22 September 1984 (age33),76,6,Paris Saint-Germain
3,DF,Dedé,(1988-07-01) 1 July 1988 (age30),9,1,Cruzeiro
4,DF,Felipe,(1989-05-16) 16 May 1989 (age29),0,0,Porto
6,DF,Filipe Luís,(1985-08-09) 9 August 1985 (age33),35,2,Atlético Madrid
13,DF,Marquinhos,(1994-05-14) 14 May 1994 (age24),27,0,Paris Saint-Germain
14,DF,Fabinho,(1993-10-23) 23 October 1993 (age24),4,0,Liverpool
16,DF,Alex Sandro,(1991-01-26) 26 January 1991 (age27),10,0,Juventus
22,DF,Éder Militão,(1998-01-18) 18 January 1998 (age20),0,0,Porto
5,MF,Casemiro,(1992-02-23) 23 February 1992 (age26),28,0,Real Madrid
11,MF,Philippe Coutinho,(1992-06-12) 12 June 1992 (age26),41,12,Barcelona
15,MF,Arthur,(1996-08-12) 12 August 1996 (age22),0,0,Barcelona
17,MF,Lucas Paquetá,(1997-08-27) 27 August 1997 (age21),0,0,Flamengo
18,MF,Fred,(1993-03-05) 5 March 1993 (age25),8,0,Manchester United
19,MF,Willian,(1988-08-09) 9 August 1988 (age30),62,8,Chelsea
23,MF,Andreas Pereira,(1996-01-01) 1 January 1996 (age22),0,0,Manchester United
7,FW,Douglas Costa,(1990-09-14) 14 September 1990 (age27),27,3,Juventus
9,FW,Richarlison,(1997-05-10) 10 May 1997 (age21),0,0,Everton
10,FW,Neymar (Captain),(1992-02-05) 5 February 1992 (age26),90,57,Paris Saint-Germain
20,FW,Roberto Firmino,(1991-10-02) 2 October 1991 (age26),25,7,Liverpool
21,FW,Éverton,(1996-02-22) 22 February 1996 (age22),0,0,Grêmio
