No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Benjamin Lecomte,(1991-04-26) 26 April 1991 (age27),0,0,Montpellier
16,GK,Alphonse Areola,(1993-02-27) 27 February 1993 (age25),2,0,Paris Saint-Germain
23,GK,Benoît Costil,(1987-07-03) 3 July 1987 (age31),1,0,Bordeaux
2,DF,Benjamin Pavard,(1996-03-28) 28 March 1996 (age22),14,1,VfB Stuttgart
3,DF,Presnel Kimpembe,(1995-08-13) 13 August 1995 (age23),3,0,Paris Saint-Germain
4,DF,Raphaël Varane (Captain),(1993-04-25) 25 April 1993 (age25),51,3,Real Madrid
5,DF,Samuel Umtiti,(1993-11-14) 14 November 1993 (age24),27,3,Barcelona
17,DF,Adil Rami,(1985-12-27) 27 December 1985 (age32),35,1,Marseille
19,DF,Djibril Sidibé,(1992-07-29) 29 July 1992 (age26),18,1,Monaco
21,DF,Lucas Hernández,(1996-02-14) 14 February 1996 (age22),14,0,Atlético Madrid
22,DF,Benjamin Mendy,(1994-07-17) 17 July 1994 (age24),9,0,Manchester City
6,MF,Paul Pogba,(1993-03-15) 15 March 1993 (age25),62,10,Manchester United
12,MF,Corentin Tolisso,(1994-08-03) 3 August 1994 (age24),15,0,Bayern Munich
13,MF,N'Golo Kanté,(1991-03-29) 29 March 1991 (age27),33,1,Chelsea
14,MF,Blaise Matuidi,(1987-04-09) 9 April 1987 (age31),74,9,Juventus
15,MF,Steven Nzonzi,(1988-12-15) 15 December 1988 (age29),10,0,Roma
7,FW,Antoine Griezmann,(1991-03-21) 21 March 1991 (age27),63,24,Atlético Madrid
8,FW,Thomas Lemar,(1995-11-12) 12 November 1995 (age22),13,3,Atlético Madrid
9,FW,Olivier Giroud,(1986-09-30) 30 September 1986 (age31),83,32,Chelsea
10,FW,Kylian Mbappé,(1998-12-20) 20 December 1998 (age19),24,9,Paris Saint-Germain
11,FW,Ousmane Dembélé,(1997-05-15) 15 May 1997 (age21),18,2,Barcelona
18,FW,Nabil Fekir,(1993-07-18) 18 July 1993 (age25),19,2,Lyon
20,FW,Florian Thauvin,(1993-01-26) 26 January 1993 (age25),5,0,Marseille
