No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Manuel Neuer (captain),(1986-03-27) 27 March 1986 (age32),80,0,Bayern Munich
22,GK,Marc-André ter Stegen,(1992-04-30) 30 April 1992 (age26),21,0,Barcelona
2,DF,Jonathan Tah,(1996-02-11) 11 February 1996 (age22),3,0,Bayer Leverkusen
3,DF,Thilo Kehrer,(1996-09-21) 21 September 1996 (age21),1,0,Paris Saint-Germain
4,DF,Matthias Ginter,(1994-01-19) 19 January 1994 (age24),20,0,Borussia Mönchengladbach
5,DF,Mats Hummels,(1988-12-16) 16 December 1988 (age29),67,5,Bayern Munich
14,DF,Nico Schulz,(1993-04-01) 1 April 1993 (age25),1,1,1899 Hoffenheim
15,DF,Niklas Süle,(1995-09-03) 3 September 1995 (age23),13,0,Bayern Munich
16,DF,Antonio Rüdiger,(1993-03-03) 3 March 1993 (age25),27,1,Chelsea
17,DF,Jérôme Boateng,(1988-09-03) 3 September 1988 (age30),75,1,Bayern Munich
18,DF,Joshua Kimmich,(1995-02-08) 8 February 1995 (age23),34,3,Bayern Munich
6,MF,Leon Goretzka,(1995-02-06) 6 February 1995 (age23),17,6,Bayern Munich
7,MF,Julian Draxler,(1993-09-20) 20 September 1993 (age24),47,6,Paris Saint-Germain
8,MF,Toni Kroos (vice-captain),(1990-01-04) 4 January 1990 (age28),88,13,Real Madrid
10,MF,Julian Brandt,(1996-05-02) 2 May 1996 (age22),20,2,Bayer Leverkusen
20,MF,Kai Havertz,(1999-06-11) 11 June 1999 (age19),1,0,Bayer Leverkusen
21,MF,İlkay Gündoğan,(1990-10-24) 24 October 1990 (age27),29,4,Manchester City
9,FW,Timo Werner,(1996-03-06) 6 March 1996 (age22),19,8,RB Leipzig
11,FW,Marco Reus,(1989-05-31) 31 May 1989 (age29),36,10,Borussia Dortmund
13,FW,Thomas Müller,(1989-09-13) 13 September 1989 (age28),96,38,Bayern Munich
23,FW,Nils Petersen,(1988-12-06) 6 December 1988 (age29),2,0,SC Freiburg
